Phrase,Count
PHD Computer Science,7
Lightning,7
Transformers,7
Trustworthy AI,7
Huggingface,7
Computer Engineering,7
XAI,7
ML technologies,7
data governance,7
LangChain,7
Go programming,6
LLM Inference,6
Project management,6
vector databases,6
troubleshooting production systems,6
Responsible AI,6
Problem-solving,6
optimizing training,6
integration,6
diversity,6
bias,6
high-performance computing,6
data privacy,6
documentation,6
training optimization,6
legal,6
related technical,6
containerization,6
teaching,6
troubleshooting,6
AI methodologies,6
data visualization,6
AI governance,6
programming with Python,6
TypeScript,6
RAG,6
Research,6
tensorflow,6
MS Engineering,6
communication .,6
supervised,6
cloud computing platforms,6
management,6
CSS,6
ICML,6
ethics,6
AI tools,6
AI testing,6
CV,6
bias detection,6
responsible AI,6
analytics,6
AWS Ultraclusters,6
APIs,6
predictive modeling,6
mentorship,6
curiosity,6
Strategic thinking,6
MS,6
PhD in Computer Science,6
unsupervised learning,5
BS MS Computer Science,5
regulations,5
data analytics,5
team collaboration,5
cybersecurity,5
reliability,5
decision-making,5
Analytics,5
Engineering AI,5
accountability,5
writing,5
systems engineering,5
RESTful APIs,5
languages,5
CCPA,5
Mathematics,5
HIPAA,5
delivering,5
regulatory requirements,5
problem-solving abilities,5
multi-agent systems,5
Electrical Engineering,5
Ph.D.,5
Business,5
safety,5
BS computer science,5
Scala programming,5
HuggingFace,5
Monitoring,5
BS MS in Computer Science,5
continuous learning,5
ML concepts,5
Google Cloud Platform,5
architectures,5
AI agents,5
Java programming,5
measurement,5
Scala Java,5
effective communication,5
analytical problem-solving,5
supporting AI services,5
anomaly detection,5
MS computer science,5
inference software to improve hardware utilization,5
automation,5
ICLR,5
Software Engineering,5
MS Computer Engineering,5
EMNLP,5
Ansible,5
Data analysis,5
AI research,5
techniques,5
neural networks,5
data collection,5
large deep learning models,5
prioritization,5
flexibility,5
Torch,5
DL,5
GenAI,5
science,5
SAS,5
data mining,5
computer architecture,5
procedures,5
model training,5
creativity,5
engineering mindset,5
operating systems,5
deploying,5
ACL,5
Excel,5
observability tools,5
cloud infrastructure,5
networking,5
Interpersonal,5
infrastructure management,5
data engineering,5
PhD computer science,5
Google Suite,4
Memory,4
applied mathematics,4
compliance,4
work collaboratively,4
Master’s,4
deep learning frameworks,4
education,4
IT,4
R programming language,4
programming language,4
nice-to-have,4
Pythons,4
Microsoft Office,4
implementing,4
Machine learning models,4
team leadership,4
Masters,4
Data Analysis,4
Tableau,4
NoSQL databases,4
relevant education,4
AI Governance,4
statistical analysis,4
BERT,4
data,4
cost,4
performance,4
culture,4
statistical,4
user design,4
information science,4
problem solving,4
Deep learning frameworks,4
relational databases,4
Bash,4
CUDA,4
automated testing,4
performance optimization,4
Neural Networks,4
Security,4
Deep AI,4
language,4
Unix,4
Linux,4
trustworthy AI,4
robotics,4
algorithm design,4
foundation models,4
diffusion models,4
MS Statistics,4
practices,4
maintenance,4
law,4
Python proficiency,4
conferences,4
latency,4
math,4
throughput,4
explainable AI,4
Vision,4
technical leadership,4
KPIs,4
Sagemaker,4
solutions,4
growth mindset,4
PhD in computer science,4
AI fairness,4
AI Security,4
interpretability,4
Rust,4
Software engineering,4
verbal communication .,4
PostgreSQL,4
ontologies,4
semantics,4
Java programming languages,4
ASR,4
DataDog,4
automated planning,4
BS Business,4
product development,4
cognitive science,4
MATLAB,4
human machine teaming,4
eXplainable AI,4
decision science,4
processes,4
NLP techniques,4
Graphs,4
healthcare,4
systems,4
Llamaindex,4
Presidio,4
Node.js,4
Kubernetes equivalent on-premises technologies,4
vector databases.,4
ethical AI principles,4
Flask,4
problem-solving ability,4
PhD machine learning,4
BS Data Science,4
Computer Engineering relevant technical,4
Vue.js,4
API development,4
S3,4
On call support,4
technical,4
Scala,4
Ruby,4
distributed systems,4
Adaptability,4
CISSP,4
execution,4
planning,4
emerging technologies,4
data acquisition,4
workflows,4
statistical models,4
PhD Computer Science,4
image processing,4
BS MS Engineering,4
quantitative problem-solving ability,4
Working with columnar,4
deep learning models,4
collaboration with cross-functional teams,4
preprocessing,4
large scale distributed systems,4
LLMOps,4
analysis tools,3
industry,3
vision,3
Gen AI,3
AI software development,3
Reinforcement Learning,3
at least industry,3
Data Engineering,3
Scripting,3
Information architecture,3
AI safety,3
D3.js,3
applied machine learning,3
improving,3
causal inference,3
Salesforce,3
video,3
higher a relevant,3
JAX TensorFlow,3
distributed training,3
Text Mining,3
journals,3
ML techniques,3
machine learning principles,3
cleaning,3
understanding,3
workflows for remote development on AWS,3
Django,3
statistical programming languages,3
tools.,3
in machine learning,3
open-source languages,3
text mining,3
discovery,3
Scikit Learn,3
understand,3
computer speech,3
information systems,3
Agile development methodologies,3
ML to solve problems in Responsible AI,3
AI-enabled tools.,3
Foundation Models,3
AI security,3
econometric models,3
color,3
BS Statistics,3
CIPP,3
Kubernetes clusters,3
clustering,3
MS Data Science,3
metrics,3
model validations,3
findable useful content,3
financial services,3
#NAME?,3
content modeling,3
people management,3
Presentation,3
system design,3
pair programming,3
Machine learning fundamentals,3
contribution models,3
taxonomy,3
machine learning libraries,3
physics,3
unit testing,3
machine learning research,3
models,3
complexity analysis,3
Dynatrace,3
Tree Ensembles,3
Jupyter Notebooks,3
Typescript,3
activity recognition,3
Problem-solving capabilities,3
Prompt engineering,3
Programming,3
Word,3
PowerPoint,3
Snowflake,3
manufacturing,3
CVPR,3
AI frameworks,3
statistical methods,3
negotiation,3
influence,3
visualization tools,3
human-computer interaction,3
cross-functional team collaboration,3
eval frameworks like Ragas,3
MySQL,3
Programming in Python,3
self-motivation,3
ex,3
Helm,3
fine-tuning,3
Information Retrieval,3
rules,3
JSON,3
analytical abilities,3
cloud computing,3
AI T&E,3
SciPy,3
parallel computing,3
customer design,3
products,3
production deployment,3
empathy,3
Pig,3
tuning,3
GPU,3
analyzing,3
collecting performance data,3
sentiment analysis,3
communication abilities,3
PHD Electrical Engineering,3
high-level programming language,3
decision-making mindset,3
MapReduce paradigms,3
CS,3
EC2,3
AppDynamics,3
data-driven problem-solving,3
enterprise SaaS space,3
Databricks,3
Pyspark,3
data management,3
scripting,3
Redis,3
benchmarking,3
Attention to detail,3
identifying novel solutions to solve real-world problems,3
classification,3
translate academic research into working prototypes,3
motivation,3
storytelling,3
ML model optimization,3
ML models,3
disposition capable of proposing outside-the-box solutions,3
bias mitigation,3
curious,3
work ethic,3
data quality,3
containerization technologies,3
RNNs,3
real contribution to company via internship project,3
active learning,3
presentations,3
report writing,3
experimentation,3
Ph.D. Computer Science,3
Memory using Python,3
mitigation,3
Flexibility,3
GPT,3
methodologies,3
CNNs,3
Robotics,3
Explainable AI,3
Accountability,3
C++ programming,3
GitHub,3
open-source tools,3
technical expertise,3
Machine Learning techniques,3
Coaching,3
Creativity,3
data architecture,3
C++ programming language,3
observability,3
graph neural networks,3
public speaking capabilities,3
supervised learning,3
AI solutions,3
stakeholder engagement,3
red teaming,3
OpenAI,3
think critically,3
business acumen,3
data privacy regulations,3
Pinecone,3
efficiency,3
big data technologies,3
building,3
public policy,3
unstructured data,3
deep learning techniques,3
graduate levels,3
MS PhD Computer Science,3
machine learning engineering,3
Jenkins,3
ML solutions,3
Triton,3
Kafka,3
technologies using various languages,3
Scalability,3
PHD Machine Learning,3
Deep Learning frameworks,3
grammar,3
team player,3
quantitative,3
dataBS management systems,3
Innovation,3
organizational .,3
ML Anomaly detection,3
Data Visualization,3
experimental research,3
data analytics concepts,3
Cloud Computing,3
R Java,3
Deep learning networks,3
tooling,3
secure,3
practical conducting technical research collaboratively,3
published research in machine learning particularly in generative AI,3
uncertainty,3
model validation,3
customer service,3
prototyping,3
data science roles related to LLM technologies,3
applied cryptography,3
Math,3
compilers,3
their AI services,3
technical discussions,3
algorithmic fairness,3
regulatory compliance,3
API Integration,3
C programming language,3
PHD CE,3
Data management,3
CV models,3
ServiceNow,3
linear algebra,3
trust,3
high-dimensional data analysis,2
detail-oriented,2
academic publishing,2
FMs,2
VAEs,2
Deep learning architectures,2
CD,2
data protection,2
performance analysis,2
major in visual analytics,2
Compliance laws,2
Cloud platforms,2
data engineering concepts,2
present,2
data integrity,2
orchestration tools like Docker,2
Natural language processing,2
partnership growth,2
database,2
event sequence,2
data governance related projects,2
data mining machine learning research,2
programming with scripting,2
logging,2
ML systems,2
log mining,2
backend,2
main-stream machine learning platforms,2
written verbal communication,2
Databases,2
Distributed systems,2
microservices,2
Reasoning,2
banking,2
Regression,2
working on AI,2
NLP algorithms,2
differential privacy,2
software based on research conclusions,2
machine learning methods,2
typologies,2
handle multiple projects simultaneously,2
providing periodic updates on progress to leadership,2
automation tools,2
JavaScript programming language,2
MLOps practices,2
data privacy issues,2
eBPF,2
linux kernel tuning,2
low level systems,2
developing machine learning models in a cloud environment.,2
MS Office applications,2
conversational AI,2
design thinking,2
emerging techniques,2
Data science,2
extensions to existing models,2
Product Management,2
risks,2
Large Language Models expertise,2
CD pipelines,2
version control,2
alerting tools,2
monitoring tools,2
HCI,2
writing reports,2
Advanced degree preferred,2
container orchestration,2
image,2
Documentation creation,2
algorithm development,2
Self-motivation,2
advanced analytics,2
PHD,2
assessing model risk,2
disciplinary backgrounds in computer,2
interviewing,2
oral,2
Integrating AI models with software development life cycle,2
the legislative process,2
Deep learning research,2
AI domains machine learning applications,2
sales,2
labeling,2
classical machine learning,2
BS MS Data Science,2
microservices architecture,2
productionizing,2
time series forecasting,2
policy compliance,2
hypothesis testing,2
cloud platforms like AWS,2
TensorFlow machine learning framework,2
cloud security,2
regulatory requirements.,2
modeling,2
threat modeling,2
data preparation,2
data modeling,2
CDPSE,2
Written communication,2
Supervised,2
another relevant discipline,2
CIPT,2
Recommender Systems,2
orchestration tools,2
regulatory insights,2
actionable business strategies,2
as part of a team.,2
conducting research,2
XML,2
customers,2
team members,2
Quickly learning,2
CIPM,2
source control management,2
coding standards,2
code review,2
quality assurance methodologies,2
BS degree,2
standards,2
build,2
Data mining,2
SAP,2
Confidence,2
design technologists,2
content engineering,2
people-first culture,2
AI use cases.,2
data exploration,2
predictive analytics,2
applied research,2
Publication,2
large language,2
tolerances,2
constraints,2
policy development,2
image datasets,2
interactive data visualizations,2
shipping products that use machine learning,2
API security,2
integrity,2
tools for machine learning interpretability,2
practitioner communities,2
AI developments,2
contributing to open source projects,2
data privacy laws,2
risk assessments,2
Effective communication,2
model reviews,2
governance frameworks,2
Python for AI,2
Data Governance,2
ML workloads,2
mathematical foundations,2
evaluations,2
high-throughput,2
Generative AI technologies,2
social sciences,2
Agile,2
Scrum,2
research fundamentals,2
configuration management,2
bias assessment,2
training in ethics,2
interest,2
human-centered research,2
Human-Computer Interaction,2
at least 3 years of developing AI,2
operational,2
MLflow,2
Kubeflow,2
customer focus,2
relational-style query languages,2
Chef,2
plotting & visualization libraries,2
Puppet,2
Retrieval Augmented Generation,2
model quality metrics development,2
AWS services,2
CD tools,2
complex datasets,2
administrative procedures,2
transformer models,2
multi-modal detection of semantically meaningful events in video,2
feature evaluation,2
interviewing subject matter experts,2
advanced statistics techniques,2
machine learning technology,2
probability,2
model architectures,2
media,2
high impact applied research,2
AI foundation models,2
Collaboration with cross-functional teams,2
Architectural with cloud platforms,2
managers,2
Developing,2
Information Technology,2
cross-functional team management,2
SDLC,2
feature transformation,2
feature selection,2
ETL processes,2
Cross-functional collaboration,2
adaptability in rapidly changing environments,2
learning from successes,2
GPUs,2
history of technology,2
Rising 2026 graduates,2
history of science,2
anthropology,2
convolutional neural networks,2
fine-tuning large language models,2
analytical mind,2
product development teams,2
develop original research agendas,2
language models,2
OpenShift,2
cloud technology,2
algorithmic problem-solving,2
cloud technologies,2
philosophy,2
authoring research papers in machine learning,2
delivery,2
explainability in AI systems,2
technical AI safety research,2
research engineering,2
devices,2
"artificial intelligence principles, tools",2
collaboration with technical teams,2
Thought leadership,2
AWS re,2
software engineering principles,2
code reviews,2
software engineering practices,2
MS Mathematics,2
inclusion,2
MS Operations Research,2
establishing,2
technical architecture,2
software,2
data science principles,2
architecting,2
s,2
data & analytics,2
Proven track record in leading,2
complex AI projectsimplementing AI solutions in large-scale,2
deep learning-based approaches,2
enterprise environments,2
Slurm,2
regulatory frameworks,2
change management,2
data insights,2
complex shared codebases,2
Standards,2
Economics,2
MS preferred,2
media studies,2
high-growth tech environment,2
recognition of entertainment video content,2
relevant technical,2
religion,2
leading AI,2
national origin,2
work in multidisciplinary settings,2
teach at the undergraduate,2
application development,2
age,2
postdoctoral researchers,2
Responsible AI principles,2
Marketing technical,2
systematic review methods,2
B2B demand generation in SaaS,2
connect dots across demand generation,2
machine learning systems,2
Thriving in fast-paced startup environment,2
independence,2
journals.,2
challenges,2
API-based products,2
People management,2
non-technical audiences,2
developing machine learning models in a cloud environment,2
working with cloud technology stack,2
EE,2
publication history,2
crafting evaluations,2
with open source LLM fine-tuning using Pytorch,2
sophisticated ML problems,2
pandas,2
verification,2
organization,2
HubSpot,2
work,2
trustworthy AI deployments,2
Adaptchanging priorities,2
data extraction,2
fast scaling industry,2
network security,2
project planning,2
event management,2
Team collaboration,2
interaction design,2
SIEM,2
sociology,2
Deep regulatory frameworks,2
public policy levers around the globe,2
identify existing,2
emerging sociotechnical issues in AI technologies,2
model,2
engagement,2
technology studies,2
ML problems,2
mission-driven work.,2
Industry trends,2
large datasets,2
Growth mindset,2
cyber threat intelligence,2
Proactive problem-solving approach,2
Comfort with ambiguity,2
develop,2
ethical considerations,2
Sense of ownership,2
Artificial intelligence,2
accountability for outcomes,2
actionable manner,2
other related languages,2
penetration testing,2
Professionalism,2
large-scale data processing,2
vulnerability assessment,2
communication of complex ideas,2
equivalent work,2
mechanistic interpretability techniques,2
STT,2
NodeJS,2
Qualifications,2
finetuning large foundation models e.g. wav2vec,2
finetuning in PyTorch,2
VPC,2
MLOps BS practices,2
Agility,2
serving infrastructure,2
problem-solving .,2
working with ML models in production,2
related quantitative,2
web development stacks,2
recommendation systems,2
working,2
MS BS Computer Science,2
Next.js,2
Linux command-line tools,2
HuBERT for downstream classification,2
CD concepts in machine learning workflow,2
user empathy,2
inter-personal,2
nanotechnology,2
material science,2
conceptual,2
Solutions Architect,2
multifunctional technology,2
prioritize tasks to meet deadlines,2
data scientists,2
Abilities,2
combustion processes,2
CNN,2
propulsion,2
Frameworks,2
flight physics,2
computational,2
Trainium,2
shell scripting,2
product sense,2
HTML5,2
explain complex concepts,2
GCP Azure,2
tagging,2
pricing,2
natural language processing for topic extraction,2
summarization,2
speech recognition and,2
validation,2
functional testing,2
test-driven development,2
Text-to-speech,2
deep learning for annotation,2
FAR,2
government,2
Computer vision,2
segmentation,2
optical character recognition,2
multi-tasking,2
iterative product development,2
integrating LLM APIs into products,2
REST APIs,2
business intelligence,2
BS Mathematics,2
BS MS PhD Computer Science,2
Microsoft,2
Data analytics,2
scalable,2
systems programming,2
5-15+ years mission-critical backend systems at scale,2
practical coding,2
systems that operate reliably at scale,2
adapt priorities in a fast-paced environment,2
Object detection,2
external engineers,2
product managers,2
optical signal processing,2
statistical modeling tools,2
production systems with large language models,2
Continuous integration,2
Safety,2
AI techniques,2
coaching,2
accuracy,2
deep learning methods,2
Collibra Data Governance Center,2
similar tools,2
PowerBI,2
Toad,2
Probability Theory,2
Agile methodology,2
product design,2
Regression Modelling,2
Clustering Methods,2
data platforms,2
controls,2
communicate,2
navigate,2
evaluating,2
Amazon Web Services,2
REST,2
MS Economics,2
healthcare data,2
optimization algorithms,2
Invent,2
general representation learning,2
deep graph learning,2
spatiotemporal machine learning,2
ADAS,2
AWS Sagemaker,2
commercial,2
mathematical software,2
ML development,2
project oversight,2
frameworks like PyTorch,2
patents,2
models for business application,2
Image Recognition,2
Development,2
designing scalable cloud architectures,2
technical communication,2
atmospheric characterization,2
simulation,2
technical aptitude,2
beneficial,2
thinking creatively about how to use technology in a way that is safe,2
internal stakeholders,2
convey complicated topics in easily understandable terms to a diverse set of external,2
Celery,2
human modeling,2
digital,2
deep learning data analytics concepts,2
execute amidst ambiguity,2
python,2
SCI clearance,2
Active DoD Secret clearance with attain DoD Top Secret,2
multitasking,2
Time Series Forecasting,2
technical background,2
models at scalecloud computing platforms,2
Datadog,2
Machine Learning Visualization Tools,2
ethical AI development,2
reporting,2
Vector DBs,2
experiment design,2
Juris Doctor,2
JD,2
adversarial robustness,2
alignment,2
public speaking,2
ROI evaluation,2
Objective C,2
language data,2
vision coverage,2
cross-functional collaboration,2
trends,2
generative AI research,2
PHD Robotics,2
PHD Artificial Intelligence,2
proposal development,2
AI Fairness 360,2
FairLearn,2
Product ownership,2
visualization,2
fairness in machine learning,2
trust engineering,2
mitigation techniques,2
real-world applications of ethical AI,2
deploying models that address fairness,2
multi-modal,2
Copilot,2
machine learning applications.,2
BS mathematics,2
Microservices,2
data integration,2
B testing,2
practical ML prototyping,2
interview performance,2
excellence in undergraduate education,2
approaches,2
job-related,2
equity,2
stakeholder management,2
software development lifecycle,2
research concepts,2
dataBS management,2
A,2
technical support,2
Enrolled,2
HPC,2
with monitoring,2
hardware engineering,2
Applied Research,2
with AI,2
AI solutions development,2
data preprocessing techniques,2
pick up slack outside job description,2
FAISS,2
xgboost,2
Agentic AI,2
game theory,2
Legal Use Case Models,2
negotiating,2
research analysis,2
information security,2
large-scale pretraining,2
fastai,2
Legal Tech,2
stochastic algorithms,2
catboost,2
lightgbm,2
fine-tuning of LLMs on diverse NLP tasks,2
Evaluating LLMS LLM as a Judge,2
AI Security Threats,2
evaluate the performance,2
Observability,2
Responsible AI Practices,2
Publications at relevant venues,2
NAACL,2
Milvus,2
fairness in generative models,2
technical writing,2
quantitative methods,2
GNNs,2
high performance large-scale ML systems,2
VAR,2
prediction,2
OS internals,2
ML toolkits,2
NextJS,2
product,2
Azure OpenAI,2
ISO 42001,2
EU AI Act,2
locations,2
PHD computer science,2
similar venues are a bonus.,2
KDD,2
SIGIR,2
comprehensive health insurance,2
retirement benefits,2
zero-trust architectures for AI systems,2
proven record of multi-disciplinary research achievement,2
Graduate Computer Science,2
MongoDB,2
with data management,2
customer-driven solutions support service,2
advanced legal analytical,2
Robustness,2
regression,2
AI alignment,2
college,2
requirements analysis,2
fluency in English,2
technology choices,2
writing style,2
verbal communications .,2
confidentiality,2
Scikit-Learn,2
ML implementation,2
service to unit,2
Efficiency,2
Transformer architectures,2
Exceptional communication,2
CuTe,2
teamwork abilities,2
compiler,2
responsible,2
Angular,2
Advanced Data Mining,2
Deep technical AI,2
Machine learning algorithms,2
analytical thinking,2
BS practice prompting techniques,2
writing prompts,2
user,2
ML deployment,2
content creation,2
software design,2
DALL-E,2
deep learning techniquesdeep learning libraries,2
information technology,2
Lua,2
shell,2
related libraries,2
reasoning,2
monitoring solutions,2
budget management,2
interaction,2
Business Analysis,2
Machine learning methods,2
improvement,2
identification,2
editing,2
security requirements,2
SEO optimization,2
AI development,2
support,2
solid-state physics,2
data protection laws,2
thought leadership,2
equivalent combination of education,2
Data engineering,2
exceptional promise for cross-disciplinary research achievement,2
customer needs analysis,2
development stipend,2
data infrastructure,2
applications,2
MS PhD in Computer Science,2
Software Development,2
articulating challenging technical concepts to lay audiences,2
profiling,2
JIRA,2
project management methodologies,2
Verbal communication,2
publications at top-tier conferences,2
MS machine learning,2
PHP,2
OpenTelemetry,2
Semantic Kernel,2
Machine learning concepts,2
graduate teaching,2
university,2
Deep learning,2
editor,2
eye for detail,2
NoSQL,2
engineering BS practices,2
Certifications in security,2
unsupervised learning algorithms,2
Dive Deep,2
Machine Learning Engineer Internship focused on analyzing,2
ethical considerations in AI development,2
reverse engineering,2
drive,2
deep learning research,2
leading,2
supporting complex AI systems,2
analytical problem-solving ability,2
adapt,2
data visualization tools,2
work both independently,2
certifications,2
natural language understanding,2
API design,2
Statistical modeling,2
presentation .,2
scikit learn,2
improving energy efficiency of AI models through the AI Energy Score project.,2
Software development,2
methods,2
Power BI,2
AI governance frameworks,2
Design,2
equivalent practical,2
Model training,2
algorithmic bias,2
Data Management,2
Image Processing,2
preferably Python,2
neural network parameters mapping to meaningful algorithms,2
computational linguistics,2
Project Management,2
Bias,2
Empathy,2
Follow-Through,2
Critical Thinking,2
NLP applications,2
analytic,2
Group Problem Solving,2
computer,2
Computer Literacy,2
Growth Mindset,2
ML development lifecycle,2
Intellectual Curiosity,2
Calendar Management,2
ML applications,2
Docker Compose,2
communicate clearly,2
deep learning packages,2
Active Listening,2
Active Learning,2
electrical engineering,2
Long Term Planning,2
Action Planning,2
Managing Ambiguity,2
Figma,2
HTML,2
fairness in generative AI.,2
finance,2
performance on our interviews,2
Golang programming,2
data science.,2
multi-modal data analysis,2
Design Thinking,2
generative AI applications,2
Reward Models,2
Training LLMs,2
multiple of the following concepts,2
data layer technologies,2
Outstanding analytical,2
algorithmic problem solving,2
software development in Deep Learning and,2
Computer Science background,2
communicating AI concepts to audiences with diverse technical backgrounds.,2
Synthetic Data Generation,2
Tools,2
frameworks for DataOps and,2
Preferred Qualifications,2
Model building,2
graphs,2
MS PHD Computer Science,2
transfer learning,2
one,2
troubleshoot complex issues,2
ML libraries,2
object-oriented design,2
customer delivery,2
deep technical decisions,2
security expertise,2
High data structures,2
customer trust maintenance,2
AI pipelines,2
strategic thinking align AI risk management with business objectives,1
reason more effectively while maintaining computational efficiency.,1
publications at leading workshops,1
Research Scientist,1
analytical problem-solving using quantitative approaches,1
training algorithms that enable models to take actions in a virtual world,1
collaboration with partners,1
large-scale machine learning systems,1
training with large datasets,1
communicating complex research in a clear,1
working independently,1
precise,1
software engineer via internship,1
Cutting-edge MLOPs platform building,1
keen developing synthetic data generation methods,1
proven record of influential publications on AI,1
embed risk,1
ability for technical work,1
developing privacy-preserving technologies,1
privacy preserving machine learning,1
fellowships,1
Research Engineer,1
team development,1
recruitment,1
compliance disciplines into business operations,1
their potential risks,1
product teams,1
mitigating bias in computer vision technologies,1
conference talks,1
cross-functional collaboration with researchers,1
striving for beneficial & safe uses of AI,1
code generation models,1
evaluating machine learning models for Natural Language Processing,1
grants,1
tools for training deep learning models,1
process improvement programs,1
with popular machine learning frameworks,1
Pretraining,1
Multimodal tasks,1
developing new tools & evaluation suites,1
writing research papers,1
political views,1
writing clean well-documented code in Python,1
sex,1
using technical infrastructure to interface effectively with machine learning models,1
Passion to develop cutting-edge AI ethics technology,1
deriving insights from imperfect data streams,1
sexual orientation,1
gender identity,1
collaborative work environment.,1
scientific computing,1
gender expression,1
Mechanistic AI systems,1
Machine learning operations,1
Data science technologies,1
status as a protected veteran,1
edge deployments,1
TensorFlow.,1
status as an individual with a disability,1
fairness & biases,1
programming .,1
genetic information,1
research in machine learning,1
activity,1
carry out Program objectives,1
improve existing processes,1
Team management,1
PHD machine learning,1
adversarial training,1
Cloud architecture expertise,1
AI Ethics specifically Fairness,1
inference performance optimization,1
reading academic papers,1
self-motivated with engage business stakeholders,1
detecting,1
coding competitions,1
Cloud platform expansion to on-premises,1
PHD Electrical Computer Engineering related,1
cross-functional team communication,1
R programming languages,1
Machine LearningPython,1
FTA,1
Tensorflow.,1
computer architectures,1
PyTorch framework.,1
minimum of five years in risk management,1
multimodal learning,1
making technical decisions with incomplete information,1
designing distributed systems for scale,1
probabilistic programming,1
video understanding,1
Transparency,1
related s within financial services industry,1
proven track record in operationalizing risk management frameworks for existing,1
representation learning,1
race,1
emerging risks.,1
work independently on visible products,1
open source repositories,1
Jax PyTorch,1
exploitability,1
lending risk assessment,1
project management tools,1
developing statistical methodologies for fairness assessment,1
Monday,1
marketing automation tools,1
credit,1
leading teams to deliver impactful solutions,1
managerial in data science,1
sociotechnical approaches to fairness assessment,1
CRM platforms,1
machine learning technologies,1
proven tailor solutions to real-world business challenges,1
industry developing machine learning models for credit risk products from inception to production,1
multi-channel marketing campaigns,1
external facing communication,1
collaboration.,1
machine learning engineers,1
directly managing scientists,1
Prior in collaborating with large open-source projects.,1
machine learning engineers management,1
machine learning tools like PyTorch,1
math with topics ranging from pre-algebra to calculusprogramming languages,1
Dart,1
scientists,1
fluency in reading academic papers on AI,1
graduate ML,1
related with an established research record.,1
in Excel,1
other data management tools.,1
frameworks familiarity,1
computational methodologies for fairness assessment,1
deploying models that meet regulatory requirements with respect to model governance,1
financial services industry,1
visualization methodologies for fairness assessment,1
3D generation,1
Communications,1
Currently pursuing a Marketing,1
work iteratively in a fast-paced environment,1
reconstruction,1
product impacts,1
publishing seminal works in top-tier conferences.,1
product intuition,1
video generation,1
deep learning with PyTorch,1
classification clustering optimization deep learning natural language processing,1
work independently on complex research problems,1
presentation of technical concepts to diverse audiences,1
AI to solve real-world challenges in biology,1
fair lending,1
medicine.,1
PhD degree,1
Microsoft Office Suite,1
Quantitative approaches,1
marketing software,1
Manipulating complex high-volume data from varying sources,1
Theoretical research,1
Empirical research,1
Enterprise B2B SaaS marketing,1
Answering hard questions with research,1
Communicating complex research in precise,1
Reinforcement learning methods,1
Deep learning methods,1
Python developmentNatural Language Processing,1
ethical AI practices,1
Mechanistic advanced systems,1
trusted AI topics like privacy,1
publication record in top AI venues like NeurIPS,1
including deep learning,1
PHD Statistics,1
empirical aspects of machine learning,1
ECCV,1
ICCVgeneral-purpose programming languages,1
cross-culture collaborationtheoretical,1
cross-group,1
proficient interpersonal,1
PHD Econometrics,1
Pythondeep learning libraries,1
collaboration with other researchers,1
required,1
proven implement operate,1
